uniprot_id,pdb_id,plastic
A0A0K8P6T7,5XFY,PET
R4YKL9_OLEAN,,PET
A0A1Z2SIQ1_VIBGA,7Z6B,PET
A0A0G3BI90_9BURK,,PET
OK558825,7VMD,PET
OK558824,7VPA,PET
E9KJL1,,PET
A0A1B0Z6Y3,,PET
A0A1H6AD45,6SBN,PET
N20M5AZM016,2FX5,PET
A0A078MGG8,8AIS,PET
A0A031MKR8,8AIT,PET
SUD16364.1,,PET
P19833,8SPK,PET
W6R2Y2,,PET
MGYP000532440779,,PET
WP_085690612,,PET
A4W93_05950,7DZT,PET
WP_085749238.1,8AIR,PET
A0A3L8BW54,,PET
A0A3L8BDT3,,PET
WP_101893509.1,,PET
ODU60407.1,,PET
WP_062195544.1,,PET
Q8RR62,,PET
A0A1F4JXW8,7CWG,PET
WP_090538641.1,,PET
G9BY57,4EBO,PET
GBD22443,7EOA,PET
Q6A0I4,5ZOA,PET
Q6A0I3,,PET
E9LVI0,,PET
Q47RJ6,,PET
Q47RJ7,,PET
E5BBQ2,,PET
E5BBQ3_THEFU,4CG1,PET
JN129499.1,,PET
JN129500.1,,PET
WP_104613137.1,,PET
ADM47605.1,7QJQ,PET
ADV92526.1,5LUI,PET
ADV92571,5LUJ,PET
WP_083947829.1,7QJT,PET
D1A9G5,,PET
D1A2H1,,PET
H6WX58,,PET
D4Q9N1,,PET
E9LVH7,,PET
F7IX06,6AID,PET
W0TJ64,4WFK,PET
WP_082414832.1,,PET
WP_117215036.1,,PET
E9UPM2,,PET
WP_078759821.1,7QJO,PET
WP_107095481.1,,PET
WP_093412886.1,7QJP,PET
UNZ22463.1,,PET
QEX94755.1,,PET
DAC80635,,PET
SAY37579.1,,PET
SAY37582.1,,PET
WAU86704.1,8A2C,PET
WOR09923,,PET
ADH43200.1,,PET
,7NEI,PET
,7CUV,PET
SAY37583.1,,PET
AKZ20828.1,,PET
SHM40309.1,7YME,PET
,7YM9,PET
WP_108898452.1,,PET
CEE00769.1,,PET
WP_041846030.1,,PET
WP_041847557.1,,PET
WP_034767800.1,,PET
WP_108898647.1,,PET
WP_111881932,,PET
WP_039353427,7PZJ,PET
,7QJM,PET
UNZ81746,,PET
UNZ81748,,PET
UNZ81747,,PET
E8U721,,PET
ACC95208.1,7ECB,PET
YNP6_02150,,PET
YNP18_240440,,PET
JzSedJan11_10004914,,PET
SAY37584.1,,PET
SAY37587.1,,PET
SAY37589.1,,PET
RLI42440.1,8B4U,PET
LIPB_PSEA2,1TCA,PET
AAA33335.1,1AGY,PET
X0BTD8,5AJH,PET
A0A075B5G4,4OYL,PET
ESK97883,,PET
KAH7127633,,PET
G9BY57,4EBO,PUR
E5BBQ3_THEFU,4CG1,PUR
D1A9G5,,PUR
ACY95991.1,,PUR
KU353448,,PUR
AGT90042.1,,PUR
AY026386,,PUR
ARF18137.1,,PUR
BAA76305.1,,PUR
AAD22743.1,,PUR
AAF01331.1,,PUR
AAF66684.1,,PUR
AAY92471.1,,PUR
AAY92474.2,,PUR
WP_090538641.1,,PUR
AAK28498.1,,PUR
CP003218.1,,PUR
ACD16728.1,,PUR
GU116480,,PUR
WBR49956,,PUR
WBR49957,,PUR
WBR49958,,PUR
A0A2I2K6T5,,PUR
P20261,,PUR
BBP47208 / XP_036664376,,PUR
Q12559,,PUR
XP_026756396.1,,PE
XP_026756459.1,,PE
AII11185,,PE
AII11221,,PE
NYLA_PSES8,,PA
NYLA_FLASK,3A2P,PA
NYLA_FLASK,3A2Q,PA
NYLB_FLASK,2ZLY,PA
NYLC_FLASK,5XYO,PA
Q1EPR5,3AXG,PA
Q1EPR4,,PA
WP_011209364.1,,PA
A0A840P940,,PA
KQR39103,,PA
A0A7W8QII1,,PA
WBR49956,,PA
WBR49957,,PA
WBR49958,,PA
BAI44731,,PA
WP_185053500,,PA
B0FLR6,,PLA
B0FY08,,PLA
Q83VDO,,PLA
Q75UA4,,PLA
BAA76305.1,,PLA
Q0VLQ1,,PLA
Q6N9M9 / RPA1511,4PSU,PLA
P29600,,PLA
P29599,,PLA
P00780,,PLA
D4Q9N1,,PLA
F7IX06,3VIS,PLA
A0A291HVH1,,PLA
E9LVH8,,PLA
E9LVH9,5LUJ,PLA
AGT96415,,PLA
AHG30919.1,,PLA
AGT96414.1,,PLA
KP347755.1,,PLA
AKJ87264,5D8M,PLA
AKJ87216,,PLA
AB302136 / A4UZ10,,PLA
A4UZ11,,PLA
AB302138 / A4UZ12,,PLA
A4UZ13,,PLA
AB302140,,PLA
P06873,5KXVA,PLA
P52956,,PLA
AB102945.1,,PLA
Q874E,,PLA
A0A0P0ZE81,,PLA
A0A060N5H2,,PLA
A0A060N399,,PLA
AB739034,,PLA
Q0KCI0,,PHAs
Q0K7T2,,PHAs
Q0K4D5,,PHAs
Q7WXF6,,PHAs
Q0K2G9,,PHAs
Q0JZG9,,PHAs
Q0JYJ1,,PHAs
Q0K9H3,,PHAs
Q0KBZ6,,PHAs
P94146,,PHAs
Q939Q9,4BTV,PHAs
Q51871,,PHAs
O82950,,PHAs
A0A080NJE8,,PHAs
AE015451,,PHAs
B2NHN2,2D81,PHAs
B2NHN2,D280,PHAs
W6R2Y2,,PBAT
A0A7I8E2Z4,,PBAT
ALS54749.1,,PBAT
ADV92526.1,5LUI,PBAT
BAI99230,,PBAT
F7IX06,,PBAT
EIW29778.1,,PBAT
AKZ20828.1,5AH1,PBAT
AKZ20829.1,,PBAT
A0A1E1FNX8,,PBAT
L0EF70,,PBAT
OK558824,7VPA,PBAT
OK558825,7VMD,PBAT
A0A075B5G4,4OYL,PBAT
BAB86909,,PBS
P52956,,PBS
Q99174,,PBS
Q3L8N0,501l,NR
Q7X0P3,4B2N,NR
A0A1S6Q8F9,,NR
LC073705,,NR
MT664881,,NR
MT664882,,NR
H6N162,,NR
H6N4Z1,,NR
